gene_or_locus,evidence_role,effect_size_status,sentence_count,unique_pmids,earliest_year,latest_year,species_context,direct_perturbation_or_mapping,breeding_context,mechanism_themes,representative_pmids
OsCIE1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,yes,宿主免疫、肽信号与昆虫效应子,39245936
OsPUB15,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,yes,宿主免疫、肽信号与昆虫效应子,39245936
OsKSL4,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控,38988632
OsPAO6,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控,39432737
Os02g36510,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控,38337906
Os04g57050,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控,38337906
Os11g04720,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控,38337906
OsEIL5,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控,38337906
OsEIL6,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控,38337906
OsRR9,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控,38337906
Os04g27190,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,,39340817
Os04g27340,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,,39340817
OsMYB30C,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,yes,生长防御权衡与农艺环境,38520013
OsABA8ox3,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,not explicit,激素、氧化还原与信号调控,38988632
OsARID1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控,36952539
OsARID6,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控,36952539
Osa-miR156,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控,38078088
OsmiR396f-3p-OsWRKY59,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,,37636117
OsBPH14,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,36637212
OsCRN,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH;WBPH,not explicit,yes,,37373210
Osnbr1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,,not explicit,not explicit,,37316670
OsLRR-RLK2,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,,37834016
OsMYB30-OsPAL-SA,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御,36952539
OsmiR159d,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,,37402009
OsGRF8-OsF3H,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,,37176028
OsARID,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控,36952539
OsCslF6-catalysed,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控,36952539
OsPR10a,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控,37372105
OsmiR159-G,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,,37402009
OsmiR159-OsGAMYBL2,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,,37402009
OsEXO70H3-OsSMASL,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御,37569437
OsATG8A-BD,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,,not explicit,not explicit,遗传定位、克隆与抗源部署,37316670
OsATG8B-BD,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,,not explicit,not explicit,遗传定位、克隆与抗源部署,37316670
OsATG8C-BD,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,,not explicit,not explicit,遗传定位、克隆与抗源部署,37316670
OsATG8E-BD,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,,not explicit,not explicit,遗传定位、克隆与抗源部署,37316670
OsATG8a,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,,not explicit,not explicit,遗传定位、克隆与抗源部署,37316670
OsATG8b,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,,not explicit,not explicit,遗传定位、克隆与抗源部署,37316670
OsATG8c,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,,not explicit,not explicit,遗传定位、克隆与抗源部署,37316670
OsATG8e,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,,not explicit,not explicit,遗传定位、克隆与抗源部署,37316670
OsNBR1-BD,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,,not explicit,not explicit,遗传定位、克隆与抗源部署,37316670
OsMYC2-OsCslF6,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,36952539
Osa-miR5795,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,,38078088
OsVSP,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控,37372105
OsGAMYBL2,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,,37402009
OsPR3,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,激素、氧化还原与信号调控,37372105
OsMAPKK10.2,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,35068048
OsPAL4,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,35068048
OsRBBI3-3,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,35068048
OsTHT1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,35068048
OsPep,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,35068048
OsPAL,作用层级待核验的宿主基因,原句含效应量/主微效描述，需回到原文核验,1,1,2022,2022,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,36212323
OsPROPEP5,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,35068048
OsPep7,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,35068048
OsPeps.We,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,35068048
OsAOS-deficient,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,,35876337
OsCOI1-deficient,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,,35876337
OsAPX1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,,35386681
OsAPX2,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,,35386681
OsHDZIP03,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,36004924
OsHDZIP04,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,36004924
OsHDZIP15,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,36004924
OsHDZIP28,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,36004924
OsHDZIP37,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,36004924
OsHSP70,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,35323596
OsHSP71.1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,35323596
OsEXO70H3-RFP,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,,not explicit,not explicit,韧皮部取食界面与结构防御,35119102
OsHDZP28,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,36004924
OsHDZP3,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,36004924
OsHDZP9,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,36004924
OsPeps,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,35068048
OsPIN3t,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,yes,遗传定位、克隆与抗源部署,35576158
OsEXO70H3-HA,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,,not explicit,not explicit,韧皮部取食界面与结构防御,35119102
OsHDZIP20,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,36004924
OsHDZIP3,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,36004924
OsHDZIP4,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH;SBPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,36004924
OsBBPI,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御,35876337
Osg1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,激素、氧化还原与信号调控;次生代谢与挥发性防御,35876337
OsATL15-1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,,35678495
OsPROPEP3,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2022,2022,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,35068048
OsEBFS,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,次生代谢与挥发性防御,34067367
OsMAPK3,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,激素、氧化还原与信号调控,33562367
OsMAPK6,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,激素、氧化还原与信号调控,33562367
OsRAI1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,激素、氧化还原与信号调控,33562367
OsBAGs,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,,34685978
OsRLR1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,,not explicit,not explicit,,33368943
OsWRKY19,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,,not explicit,not explicit,,33368943
OsMAPKK3,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,激素、氧化还原与信号调控,33562367
OsMAPKK,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,激素、氧化还原与信号调控,33562367
OsMAPKs,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,激素、氧化还原与信号调控,33562367
OsMKK3-mediated,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,not explicit,激素、氧化还原与信号调控,33424241
OsLecRK4.Further,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2020,2020,BPH,not explicit,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,32937908
OsBi1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2020,2020,BPH,not explicit,not explicit,,32778975
Os04g0201900,作用层级待核验的宿主基因,原句含效应量/主微效描述，需回到原文核验,1,1,2019,2019,BPH,not explicit,yes,遗传定位、克隆与抗源部署,31086482
Os04g0202300,作用层级待核验的宿主基因,原句含效应量/主微效描述，需回到原文核验,1,1,2019,2019,BPH,not explicit,yes,遗传定位、克隆与抗源部署,31086482
OsbHLH96,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2019,2019,BPH,not explicit,yes,激素、氧化还原与信号调控,30796564
OsLecRK1-3,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2018,2018,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,30551584
OsMPK10,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2018,2018,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,30551584
OsMPK11,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2018,2018,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,30551584
OsMPK15,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2018,2018,BPH,not explicit,not explicit,宿主免疫、肽信号与昆虫效应子,30551584
OsRP1L1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2018,2018,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,30363818
OsPLD,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2017,2017,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,28245796
OsXIP,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2017,2017,BPH,not explicit,not explicit,,28270131
OsAMT1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2017,2017,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;生长防御权衡与农艺环境,28167952
OsGS1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2017,2017,BPH,not explicit,not explicit,韧皮部取食界面与结构防御;生长防御权衡与农艺环境,28167952
OsDCL2b,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2016,2016,,not explicit,not explicit,,27025496
OsMADS30,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2016,2016,,not explicit,not explicit,,27025496
OsWRKY53-mediated,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2016,2016,BPH,not explicit,not explicit,,27031005
OsWRKY45-antisensed,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2016,2016,BPH,not explicit,not explicit,,27258255
OsHI-XIP,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2016,2016,BPH,not explicit,not explicit,,27990147
OsActin1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2015,2015,BPH,yes,not explicit,遗传定位、克隆与抗源部署,26136269
OsCML15,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2014,2014,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,25109872
OsRac1,作用层级待核验的宿主基因,未报告/不可由文献频次推断,1,1,2013,2013,BPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,23396040
GNA,其他机制或外源因子,原句含效应量/主微效描述，需回到原文核验,9,6,1998,2022,BPH;WBPH,yes,not explicit,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御,18854007;24023750;32937908;34908164;35719377;9753773
ASAL,其他机制或外源因子,原句含效应量/主微效描述，需回到原文核验,33,4,2008,2022,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作,18854007;24023750;29855556;35719377
asal,其他机制或外源因子,未报告/不可由文献频次推断,10,2,2008,2018,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;宿主免疫、肽信号与昆虫效应子,18854007;29855556
Nl14,其他机制或外源因子,未报告/不可由文献频次推断,6,1,2025,2025,BPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,39853648
JAMYB,其他机制或外源因子,未报告/不可由文献频次推断,2,1,2025,2025,BPH,not explicit,yes,激素、氧化还原与信号调控;生长防御权衡与农艺环境,40169387
NlG14,其他机制或外源因子,未报告/不可由文献频次推断,2,1,2023,2023,BPH,yes,not explicit,宿主免疫、肽信号与昆虫效应子,37011098
gna,其他机制或外源因子,未报告/不可由文献频次推断,2,1,1998,1998,BPH,yes,not explicit,韧皮部取食界面与结构防御,9753773
NkChit2b-1,其他机制或外源因子,未报告/不可由文献频次推断,1,1,2025,2025,BPH,not explicit,not explicit,韧皮部取食界面与结构防御,40257666
Bph80,其他机制或外源因子,未报告/不可由文献频次推断,1,1,2024,2024,BPH,not explicit,yes,生长防御权衡与农艺环境,39452319
Bph43,其他机制或外源因子,未报告/不可由文献频次推断,1,1,2023,2023,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,38069282
OM64,其他机制或外源因子,未报告/不可由文献频次推断,1,1,2020,2020,BPH,not explicit,not explicit,,32542992
Bph32389B,其他机制或外源因子,原句含效应量/主微效描述，需回到原文核验,1,1,2016,2016,BPH,yes,not explicit,,27876888
Bph32p,其他机制或外源因子,原句含效应量/主微效描述，需回到原文核验,1,1,2016,2016,BPH,yes,not explicit,,27876888
